DEPTH (m),HE POR,KH,KV,Depth Shifted
1564.5,12.7,,,1566
1564.75,13,,,1566.25
1564.99,12.9,,,1566.49
1565.25,11.1,0.07,,1566.75
1565.5,13.6,,,1567
1565.72,13,,,1567.22
1566,6.2,0.15,0.07,1567.5
1566.26,8.8,0.4,,1567.76
1566.5,11.6,,,1568
1567.25,11.9,,0.65,1568.75
1567.78,15.2,2.7,,1569.28
1568,13.7,1.05,0.22,1569.5
1568.25,11.5,3.57,,1569.75
1568.5,14.9,,,1570
1568.75,13,1.42,,1570.25
1569.01,5.4,0.42,0.13,1570.51
1569.24,16.2,,,1570.74
1570,17.1,,1.93,1571.5
1570.25,14.6,2.16,,1571.75
1570.5,10.8,0.34,,1572
1570.75,10.6,,,1572.25
1571.25,12.1,,,1572.75
1571.5,10.9,,,1573
1571.76,15.7,11.1,,1573.26
1572,18.3,25.7,0.63,1573.5
1572.25,9.2,6.82,,1573.75
1572.5,6.6,1.57,,1574
1572.75,4.9,3.16,0.3,1574.25
1573.25,9.9,0.09,,1574.75
1573.5,14.8,1.55,,1575
1573.75,20,58.6,25.3,1575.25
1575,13.1,,,1576.5
1575.5,23.3,235,,1577
1575.75,23.4,290,,1577.25
1576,24.8,254,222,1577.5
1576.25,14.1,50.4,,1577.75
1577,20.1,36.8,6.06,1578.5
1577.5,16.4,75.3,,1579
1577.76,13.6,37.7,,1579.26
1578,17.4,182,107,1579.5
1578.25,11.2,0.04,,1579.75
1578.5,10.5,,0.01,1580
1578.75,11.7,0.03,0.02,1580.25
1579,13.1,0.03,,1580.5
1579.25,10.3,0.06,0.13,1580.75
1579.5,10.6,,0.1,1581
1579.78,13.5,0.41,0.04,1581.28
1580,10.7,0.05,0.02,1581.5
1580.25,11.1,0.07,0.07,1581.75
1580.5,9.3,0.02,,1582
1580.75,16,,,1582.25
1581,7.2,0.03,0.03,1582.5
1581.25,8.3,0.6,0.22,1582.75
1581.46,18.8,64.7,,1582.96
1581.75,24.6,117,57.6,1583.25
1582.5,19.2,7.66,,1584
1582.69,20.5,,,1584.19
1583,19.8,42.9,20.4,1584.5
1583.25,18.5,32.1,,1584.75
1583.5,21.7,60.9,,1585
1583.75,20.8,26.7,,1585.25
1584,19.6,42.1,46.2,1585.5
1584.5,16.8,22.1,,1586
1584.75,13.9,22.3,,1586.25
1585.05,20.5,128,63.8,1586.55
1585.25,20.7,91.8,,1586.75
1585.45,17.8,144,,1586.95
1585.75,17.8,34.9,35,1587.25
1586.25,18.8,10.6,,1587.75
1586.5,20.3,39.5,,1588
1586.75,16.7,20.2,,1588.25
1587,18.2,16.4,18.6,1588.5
1587.25,18.1,7.07,,1588.75
1587.5,15.2,6,,1589
1588,17.5,7.3,20,1589.5
1588.25,20,18.9,,1589.75
1588.5,9.7,0.13,,1590
1589,21.8,25.6,13,1590.5
1589.49,8.8,0.23,,1590.99
1590.75,14.6,56.2,78.7,1592.25
1591.25,16.8,7.73,,1592.75
1591.5,24.8,107,,1593
1591.75,22.7,50.3,2.82,1593.25
1592.06,12.2,,0.1,1593.56
1592.22,19.9,6.86,,1593.72
1592.49,10.5,,,1593.99
1592.76,17.5,127,,1594.26
1593,24.5,295,93.3,1594.5
1593.25,24,319,,1594.75
1593.75,27.1,427,2.91,1595.25
1594.25,17.1,270,,1595.75
1594.53,19.2,534,,1596.03
1594.69,15.1,172,,1596.19
1595,11,,,1596.5
1595.25,11,0.27,,1596.75
1595.5,13.2,0.67,,1597
1595.73,16.6,6.47,,1597.23
1596,13.2,3.51,0.3,1597.5
1596.25,18.4,14.3,,1597.75
1596.5,15.1,3.16,,1598
1596.75,17.9,64,,1598.25
1597,18.4,10.4,2.63,1598.5
1597.23,14.5,2,,1598.73
1597.5,13.9,1.31,,1599
1597.75,9.6,,,1599.25
1598,10.9,,,1599.5
1598.25,11.8,,,1599.75
1598.73,17.3,457,,1600.23
1599,23.1,,135,1600.5
1599.22,23.9,428,,1600.72
1599.5,23.4,103,,1601
1600.03,19.4,364,84.4,1601.53
1600.25,14.5,87,,1601.75
1600.5,12.1,,,1602
1600.75,20.5,232,,1602.25
1601.03,15.8,36.1,0.23,1602.53
1601.24,24,221,,1602.74
1601.75,25,99.7,,1603.25
1602,22.6,113,16.4,1603.5
1602.25,20.5,341,,1603.75
1602.5,23,715,,1604
1603,24.8,415,123,1604.5
1603.28,22.9,,,1604.78
1603.5,21.5,809,,1605
1603.84,14.4,481,,1605.34
1604,10,0.4,,1605.5
1604.24,14.5,17.7,,1605.74
1604.5,26.8,325,,1606
1605.33,25,471,,1606.83
1605.5,23.9,504,,1607
1606.22,19,,1.27,1607.72
1606.5,18.8,,,1608
1607,14.1,2.18,0.84,1608.5
1607.25,10.2,,,1608.75
1607.5,16.4,,,1609
1607.73,18.8,453,,1609.23
1608,12.2,27.1,0.25,1609.5
1608.25,12,,,1609.75
1608.5,10.2,,,1610
1608.78,10.7,,,1610.28
1609,13.3,7.3,,1610.5
1609.25,24.4,396,,1610.75
1609.75,10.9,0.16,,1611.25
1610,8.4,0.17,0.15,1611.5
1610.3,26.3,602,,1611.8
1610.5,25.4,214,,1612
1611.5,8.7,,,1613
1611.75,17.6,20.4,,1613.25
1612.25,25.1,1830,754,1613.75
1612.55,26.1,1370,,1614.05
1612.74,24.9,1140,,1614.24
1613,22.2,1190,929,1614.5
1613.25,11.8,149,,1614.75
1613.5,22,220,,1615
1613.75,18.4,43.7,,1615.25
1614,22.8,172,335,1615.5
1614.5,22.4,1450,,1616
1614.75,10.5,,,1616.25
1615,21.3,178,0.92,1616.5
1615.28,12.8,0.68,,1616.78
1615.5,13.1,0.35,,1617
1615.75,12.5,0.47,,1617.25
1616,8.7,,,1617.5
1616.25,19.3,1150,,1617.75
1616.58,19.3,452,,1618.08
1616.72,17.1,36.7,,1618.22
1617,24.1,406,187,1618.5
1617.25,11.4,69.6,,1618.75
1617.75,23.4,103,,1619.25
1618,20.2,40.7,31.9,1619.5
1618.75,18,692,,1620.25
1619,3.5,0.24,0.16,1620.5
1619.23,12.7,42.4,,1620.73
1619.74,28.4,561,,1621.24
1620,17.4,6.8,7.44,1621.5
1620.26,21.9,27.7,,1621.76
1620.5,19.5,25.4,,1622
1620.67,23.4,68.4,,1622.17
1621,16,250,34.4,1622.5
1621.25,8,0.16,,1622.75
1621.49,16.8,117,,1622.99
1621.75,8.5,1.97,,1623.25
1622.01,22.8,245,58,1623.51
1622.26,20,212,,1623.76
1622.53,17.2,8.5,,1624.03
1623.25,18.7,817,49.7,1624.75
1623.5,10,0.86,,1625
1623.75,8.8,0.22,,1625.25
1624.09,12,0.93,0.68,1625.59
1624.25,17,5.86,,1625.75
1624.72,25.1,255,,1626.22
1625.01,15.9,23.1,0.59,1626.51
1625.25,18.1,5.91,,1626.75
1625.53,16.8,23.7,,1627.03
1625.75,16.5,11.2,,1627.25
1626,19.1,7.59,0.34,1627.5
1626.29,14.9,70.1,,1627.79
1626.74,23,500,,1628.24
1627,20.6,695,0.97,1628.5
1627.5,18.2,4.65,,1629
1628,17,159,1.83,1629.5
1628.51,26,4250,,1630.01
1628.75,6,20.2,,1630.25
1629,14.2,1.05,0.57,1630.5
1629.5,13.2,7,,1631
1629.75,19.1,1500,,1631.25
1629.94,22.1,1070,1010,1631.44
1630.25,19.9,12.5,,1631.75
1630.52,15.9,0.77,,1632.02
1630.75,10.4,,,1632.25
1631,13.1,59.4,5.15,1632.5
1631.51,27.6,1030,,1633.01
1631.73,28,2790,,1633.23
1631.99,26.5,7090,1320,1633.49
1632.25,22.6,379,,1633.75
1632.75,23.6,560,,1634.25
1633,8.4,49.5,2.54,1634.5
1633.25,8.5,34.6,,1634.75
1633.48,23.1,61.9,,1634.98
1633.75,23.6,56.6,,1635.25
